Lake,MapCode,SurfaceArea,Lat,Long,Shape,FetchRatio,Depth,Alt,Sal,Temp,dO2,Cond,pH,sO2,TDS,ORP,PO4,Fe,NO3-N,NO2-N,Mg,Ca,NH4-N,Cl,Alt,Depth,Area,Geo,Shannon,Evenness
Balik,L1,34,39.759702,43.573758,Subrectangular,2.43,40,2250,0,8.9,7.48,150,7.77,66,148.5,-44,0.33,0.02,0.3,0.01,3.05,0.12,0.02,2.1,R3,D2,A2,J2,1.69,0.868
SarÄ±ot,L2,68.35,37.102802,32.123321,Irregular,2.02,0.8,1713,0,9.2,5,30,7.53,117,5000,-41,0.62,0.04,0.90,0.01,2.89,0.00,0.08,1.30,R3,D1,A1,J1,0,0
Uzungol,L3,0.2,40.619432,40.29461,Subrectangular,2.76,15,1090,0,13,7.64,108.9,6.61,72.9,110,9,0.11,0.22,0.7,0.01,3.25,0,0.03,0,R3,D2,A1,J2,1.499,0.931
Golcuk,L4,0.94,38.312375,28.029133,Subrectangular,3.25,7,1050,0,24.6,7.1,286,8.9,81.2,280,-122,3.84,0.04,0.8,0.01,1.13,0.35,0.02,13.5,R2,D2,A1,J2,0,0
Avlan,L5,0.1,36.585416,29.947109,Subrectangular,1.11,1,1030,0,31,9.2,290,9.55,85,270,-150,0.53,0.04,0.6,0.01,3.46,0,0.12,4.7,R3,D1,A2,J1,0.773,0.558
Karamik,L6,40,38.412979,30.866375,Subrectangular,3.22,3,1010,0,7.5,5.04,544,7.51,38.2,538,40,0.29,0,0.3,0,1.95,0.55,0.39,19.2,R2,D1,A1,J1,1.2,0.866
Yarisli,L7,16,37.570229,29.969376,Subcircular,1.19,4,920,18.5,22.4,9.79,30,10.28,117,5000,-199,3.5,0.03,0.1,0,3.03,1.17,1.34,3.5,R2,D1,A2,J2,0,0
Kovada,L8,7.9,37.6333763,30.881021,Subrectangular,3.74,7,900,0,25,7.03,303,9.72,86,300,-177,0.88,0.04,0.6,0.03,1.09,0.97,0.58,2.9,R2,D2,A2,J1,1.02,0.736
Golbasi,L9,2.19,37.7999333,37.648805,Elliptical,1.87,37,890,0,27,8.16,318,8.3,100,318,-90,0.15,0.14,0.6,0,2.12,0,0.03,0,R2,D2,A1,J1,0.693,1
Ladik,L10,0.87,40.90676,36.011985,Subrectangular,2.98,3,869,0,19.7,8.51,315,7.94,93.3,318,-65,0.66,0.08,2,0.01,2.95,0.26,0.13,7.6,R2,D1,A1,J2,1.221,0.881
Isikli,L11,73,38.219386,29.907371,Subcircular,3.7,6,821,0,21,5.3,385,8.46,60.5,392,-97,3.11,0.01,0.9,0,0,0.04,0.89,18.5,R2,D2,A2,J2,1.188,0.857
Balikdami,L12,1.47,39.190365,31.618672,Irregular,4.11,4,802,0.3,23,8,1050,7.6,95,1120,-55,0.08,0.02,0.9,0,0,0,0,20.8,R2,D1,A2,J1,1.35,0.754
Manyas,L13,160,40.204542,27.947821,Elliptical,1.9,4,14,0,28,9.98,401,10.59,131,450,-224,1.67,0.55,3.7,0.01,2.29,0,0.68,90.5,R1,D2,A2,J1,0,0
Taskisigi,L14,0.9,40.871921,30.401384,Subcircular,1.22,5,12,0,30.1,4.34,393,8.6,54,393,-107,2.96,0.06,1,0.01,2.65,0.61,0.09,14.2,R1,D1,A1,J1,0,0
Bafa,L15,67.08,37.50092,27.443699,Elliptical,2.17,21,10,14.1,33.3,6.75,2290,8.68,104.5,5000,-119,0.18,0.04,1,0.01,0.13,0.04,2.68,91.9,R1,D2,A2,J2,0,0
AkgolSa,L16,1.9,41.050308,30.568366,Irregular,3.43,4,10,0,27.6,1.51,273,8.83,19.4,273,-120,0.13,0.08,0.6,0.04,0.19,5.71,0.17,27.3,R1,D1,A1,J2,1.372,0.765
Gala,L17,5.6,40.768791,26.185773,Subrectangular,4.17,2.2,2,1.6,25.6,6.72,3180,8.32,84,5000,-65,0.51,0.04,0.8,0,0,9.87,0.1,272.6,R1,D1,A2,J2,0.9,0.819
Mert,L18,0.4,41.866472,27.974803,Triangular,5.15,3,1,3.8,33,7.5,6860,9.19,94,5000,-142,0.36,0.06,0.8,0,1.23,0.14,0.14,379.1,R1,D2,A1,J2,1.829,0.94
Gebekirse,L19,0.75,37.986389,27.304224,Subrectangular,2.7,5,0,4.5,29.3,7.17,8450,8.36,95,5000,-94,0.74,0.02,1,0.01,0.81,0.76,0.11,455.3,R1,D2,A1,J1,0.637,0.918
AkgolMe,L20,7.9,36.301102,33.947972,Triangular,1.71,1.5,0,9.6,32,6.22,38.3,8.73,84,5000,-110,0.24,0.2,0.2,0.01,1.07,0,1.4,192.7,R1,D1,A2,J1,0,0
