Site,MapCode,C.tentans,C.annularius,C.aprilinus,C.balatonicus,C.bernensis,C.cingulatus,C.crassimanus,C.dorsalis,C.luridus,C.melanescens,C.muratensis,C.nippodorsalis,C.nuditarsis,C.plumosus,C.pseudothummi,C.rihikimiensis,C.riparius,C.salinarius,C.sp.1,C.sp.2,C.sp.3,C.uliginosus
Balik,L1,0,0,0,0,8,0,0,12,3,13,0,0,0,0,0,0,20,0,2,0,3,0
SarÄ±ot,L2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
Uzungol,L3,0,0,0,18,5,0,0,0,14,0,0,0,0,16,0,0,6,0,0,0,0,0
Golcuk,L4,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
Avlan,L5,0,0,0,10,0,0,3,0,0,0,4,0,55,0,0,0,0,0,0,0,0,0
Karamik,L6,0,0,0,25,0,0,0,0,20,0,0,0,0,0,0,7,5,0,0,0,0,0
Yarisli,L7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kovada,L8,30,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0
Golbasi,L9,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Ladik,L10,0,0,0,50,0,0,0,15,0,0,22,0,0,0,0,0,12,0,0,0,0,0
Isikli,L11,7,0,0,20,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Balikdami,L12,3,0,50,0,0,0,3,0,16,0,0,0,10,0,11,0,0,0,0,0,0,0
Manyas,L13,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
Taskisigi,L14,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bafa,L15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
AkgolSa,L16,0,0,0,7,0,0,0,0,3,0,40,0,7,5,0,0,10,0,0,0,0,0
Gala,L17,0,0,0,0,0,0,0,0,10,0,5,0,0,0,25,0,0,0,0,0,0,0
Mert,L18,0,10,0,0,0,13,0,0,7,0,0,0,0,0,15,0,0,0,0,8,0,11
Gebekirse,L19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
AkgolMe,L20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
